Name,Catalog Number,Price (HUF),Amount,Total (HUF),Company,Vender,URL
330 Ohm 1/4 W 5 % RM4,01-00-61, 2.00 Ft ,3, 6.00 Ft ,YAG,RET,http://www.ret.hu/Page.aspx?pageid=8&code=01-00-61&mfnb=3
1 KOhm 0.4 W Tk=±50 1% RM2,02-06-13, 4.00 Ft ,3, 12.00 Ft ,YAG,RET,http://www.ret.hu/Page.aspx?pageid=8&code=02-06-13&mfnb=2
10 KOhm 0.4 W Tk=±50 1% RM2,02-06-37, 3.70 Ft ,1, 3.70 Ft ,YAG,RET,http://www.ret.hu/Page.aspx?pageid=8&code=02-06-37&mfnb=2
"P2510I-02 BEÜLT. TÜSKESOR 2-PÓLUSÚ RM=2,54mm I=3A EGYENES =CRS-2",53-12-44, 16.00 Ft ,9, 144.00 Ft ,TKP,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-12-44&mfnb=1
"H2510-02 LENGÖ ALJZAT 2-PÓLUSÚ RM=2,54mm I=3A. BETÉT NÉLKÜL BETÉT: 53-12-55 =CRF-2",53-12-56, 8.00 Ft ,9, 72.00 Ft ,TKP,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-12-56&mfnb=1
2N 2222A *N 75/40 V 800 mA 500 mW TO-18,21-00-19, 275.00 Ft ,1, 275.00 Ft ,STM,RET,http://www.ret.hu/Page.aspx?pageid=8&code=21-00-19&mfnb=5
Enclosure moutable 5-mm LED Red,46-01-74, HUF 335.00 ,1,335,SIGN,RET,http://www.ret.hu/Page.aspx?pageid=8&code=46-01-74&mfnb=2
Enclosure moutable 5-mm LED Green,46-01-76, HUF 344.00 ,1,344,SIGN,RET,http://www.ret.hu/Page.aspx?pageid=8&code=46-01-75&mfnb=2
Enclosure moutable 5-mm LED Yellow,46-01-75, HUF 265.00 ,1,265,SIGN,RET,http://www.ret.hu/Page.aspx?pageid=8&code=46-01-75&mfnb=2
Universal PCB board (100 x 50),75-00-15,309,2,618,RADM,RET,http://www.ret.hu/Page.aspx?pageid=8&code=75-00-15&mfnb=2
GBM 3050-15 FÉM TÁVTARTÓ M3 L=15mm APA/ANYA FORRASZTHATÓ,65-04-22, 95.00 Ft ,4, 380.00 Ft ,FIS,RET,http://www.ret.hu/Page.aspx?pageid=8&code=65-04-22&mfnb=1
ABM 3050-15 FÉM TÁVTARTÓ M3 L=15mm ANYA/ANYA FORRASZTHATÓ,65-04-30, 58.00 Ft ,4, 232.00 Ft ,FIS,RET,http://www.ret.hu/Page.aspx?pageid=8&code=65-04-30&mfnb=1
BNC female (insulated),53-02-93,400.00 Ft,2, 800.00 Ft ,DIV,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-02-93&mfnb=1
4 mm Banana plug female on chassis (black),53-06-58,314.00 Ft,1, 314.00 Ft ,HIR,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-06-58&mfnb=1
4 mm Banana plug female on chassis (red),53-06-57,314.00 Ft,1, 314.00 Ft ,HIR,RET,https://www.ret.hu/shop/product/hirschmann/4mm-banan-aljzat-piros_53-06-57
DC power plug female (2.1 mm),53-01-20,378.00 Ft,2, 756.00 Ft ,,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-01-20&mfnb=1
"DC external power supply plug male (2.1 mm, 10 mm)",53-01-64,88.00 Ft,2, 176.00 Ft ,DIV,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-01-64&mfnb=2
AKZ 250/3-5.08 - PTR MESSTECHNIK,53-05-15, 148.00 Ft ,1, 148.00 Ft ,PTR,RET,https://www.ret.hu/shop/product/ptr-messtechnik/akz-250-3-5-08_53-05-15
2mm banán aljzat fekete,53-06-51,998.00 Ft,1, 998.00 Ft ,HIR,RET,https://www.ret.hu/shop/product/hirschmann/2mm-banan-aljzat-fekete_53-06-51#prettyPhoto
M3x10mm horganyzott acélcsavar DIN965 - WÜRTH,65-03-00,12.00 Ft,10, 120.00 Ft ,,RET,https://www.ret.hu/shop/search/65-03-00
TEKO P3.2 - TEKO - P/3.2 160x96x61mm,94-04-94,1666,1," 1,666.00 Ft ",TEKO,RET,https://www.ret.hu/shop/product/teko/teko-p3-2_94-04-94
Push Bt (make contact) Black,52-00-05,110,6,660,,RET,http://www.ret.hu/Page.aspx?pageid=8&code=52-00-05&mfnb=1
Push Bt (make contact) Red,52-00-06,112,6,672,,RET,http://www.ret.hu/Page.aspx?pageid=8&code=52-00-06&mfnb=2
MS 168 FEKETE 2x10A/125V (1-2) 2 Á.K. BILLENÖ KAPCSOLÓ,52-02-92,1188,2,2376,MIYA,RET,http://www.ret.hu/Page.aspx?pageid=8&code=52-02-92&mfnb=0
2 mm banana male (black),53-06-55,152,5,760,HIRSCHMANN,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-06-55&mfnb=1
2 mm banana male (red),53-06-56,152,5,760,HIRSCHMANN,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-06-56&mfnb=1
4 mm banana plug male (black),53-03-10,248.03,10,2480.3,HIRSCHMANN,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-03-10&mfnb=2
4 mm banana plug male (red),53-03-11,248.03,10,2480.3,HIRSCHMANN,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-03-11&mfnb=2
S6BB-PC 3.5mm mono szigetelt Jack aljzat - CLIFF - CL1384,67-02-42,488,2,976,CLFF,RET,https://www.ret.hu/shop/product/cliff/s6bb-pc-3-5mm-mono-szigetelt-jack-aljzat_67-02-42
,,,,,,,
